--- [START 2017-02-21 20:28:15] ----------------------------------------------------------------

** some experiment setting **
	SEED    = 202
	file    = /root/share/project/kaggle/science_bowl/build/run00/trainer_01.py
	out_dir = /root/share/out/kaggle/02

** some data setting **
height=512, width=512, channel=1
num_class=1
num_train=28
num_valid=5

** net settings **

** some solver setting **
	batch_size = 4
	max_run = 800
	epoch_log = 10


 run  epoch   iter    rate      |  train_loss    (err)     |  valid_loss    (err)     |     
--------------------------------------------------------------------------------------------
   9.9   10.0   00070   0.100000  |  0.022382    (1.000000)  |  0.009798    (1.000000)  |  0.2 min  
  19.9   20.0   00140   0.100000  |  0.014479    (1.000000)  |  0.007787    (1.000000)  |  0.4 min  
  29.9   30.0   00210   0.100000  |  0.008625    (1.000000)  |  0.007224    (1.000000)  |  0.6 min  
  39.9   40.0   00280   0.100000  |  0.008038    (1.000000)  |  0.007357    (1.000000)  |  0.7 min  
  49.9   50.0   00350   0.100000  |  0.009869    (1.000000)  |  0.006818    (1.000000)  |  0.9 min  
  59.9   60.0   00420   0.100000  |  0.006865    (1.000000)  |  0.006736    (1.000000)  |  1.1 min  
  69.9   70.0   00490   0.100000  |  0.003701    (1.000000)  |  0.007530    (1.000000)  |  1.3 min  
  79.9   80.0   00560   0.100000  |  0.004194    (1.000000)  |  0.006778    (1.000000)  |  1.5 min  
  89.9   90.0   00630   0.100000  |  0.003656    (1.000000)  |  0.006665    (1.000000)  |  1.6 min  
  99.9  100.0   00700   0.100000  |  0.002332    (1.000000)  |  0.006582    (1.000000)  |  1.8 min  
 109.9  110.0   00770   0.100000  |  0.006108    (1.000000)  |  0.006576    (1.000000)  |  2.0 min  
 119.9  120.0   00840   0.100000  |  0.003417    (1.000000)  |  0.006697    (1.000000)  |  2.2 min  
 129.9  130.0   00910   0.100000  |  0.004896    (1.000000)  |  0.006518    (1.000000)  |  2.4 min  
 139.9  140.0   00980   0.100000  |  0.003218    (1.000000)  |  0.006354    (1.000000)  |  2.5 min  
 149.9  150.0   01050   0.100000  |  0.004915    (1.000000)  |  0.006302    (1.000000)  |  2.7 min  
 159.9  160.0   01120   0.100000  |  0.008319    (1.000000)  |  0.006241    (1.000000)  |  2.9 min  
 169.9  170.0   01190   0.100000  |  0.006843    (1.000000)  |  0.006124    (1.000000)  |  3.1 min  
 179.9  180.0   01260   0.100000  |  0.003084    (1.000000)  |  0.006167    (1.000000)  |  3.3 min  
 189.9  190.0   01330   0.100000  |  0.002213    (1.000000)  |  0.006162    (1.000000)  |  3.4 min  
 199.9  200.0   01400   0.100000  |  0.003200    (1.000000)  |  0.006182    (1.000000)  |  3.6 min  
 209.9  210.0   01470   0.100000  |  0.004355    (1.000000)  |  0.006363    (1.000000)  |  3.8 min  
 219.9  220.0   01540   0.100000  |  0.001321    (1.000000)  |  0.006182    (1.000000)  |  4.0 min  
 229.9  230.0   01610   0.100000  |  0.002747    (1.000000)  |  0.005988    (1.000000)  |  4.2 min  
 239.9  240.0   01680   0.100000  |  0.004150    (1.000000)  |  0.006324    (1.000000)  |  4.3 min  
 249.9  250.0   01750   0.100000  |  0.003436    (1.000000)  |  0.005786    (1.000000)  |  4.5 min  
 259.9  260.0   01820   0.100000  |  0.003253    (1.000000)  |  0.006056    (1.000000)  |  4.7 min  
 269.9  270.0   01890   0.100000  |  0.002707    (1.000000)  |  0.006538    (1.000000)  |  4.9 min  
 279.9  280.0   01960   0.100000  |  0.002865    (1.000000)  |  0.006364    (1.000000)  |  5.1 min  
 289.9  290.0   02030   0.100000  |  0.001571    (1.000000)  |  0.006401    (1.000000)  |  5.2 min  
 299.9  300.0   02100   0.100000  |  0.002344    (0.063112)  |  0.006407    (0.705488)  |  5.4 min  
 309.9  310.0   02170   0.100000  |  0.002129    (0.037327)  |  0.005839    (0.643048)  |  5.6 min  
 319.9  320.0   02240   0.100000  |  0.002280    (0.087225)  |  0.006152    (0.695765)  |  5.8 min  
 329.9  330.0   02310   0.100000  |  0.001273    (0.053204)  |  0.006114    (0.639859)  |  6.0 min  
 339.9  340.0   02380   0.100000  |  0.000942    (0.060067)  |  0.006160    (0.720949)  |  6.2 min  
 349.9  350.0   02450   0.100000  |  0.001624    (0.082476)  |  0.006687    (0.827192)  |  6.3 min  
 359.9  360.0   02520   0.100000  |  0.001293    (0.045256)  |  0.006131    (0.632314)  |  6.5 min  
 369.9  370.0   02590   0.100000  |  0.001736    (0.092992)  |  0.006341    (0.624572)  |  6.7 min  
 379.9  380.0   02660   0.100000  |  0.001734    (0.053855)  |  0.006443    (0.638482)  |  6.9 min  
 389.9  390.0   02730   0.100000  |  0.001856    (0.043736)  |  0.006375    (0.648123)  |  7.1 min  
 399.9  400.0   02800   0.100000  |  0.000985    (0.058066)  |  0.006405    (0.620506)  |  7.2 min  
 409.9  410.0   02870   0.100000  |  0.001438    (0.023681)  |  0.006332    (0.623794)  |  7.4 min  
 419.9  420.0   02940   0.100000  |  0.001624    (0.024119)  |  0.006477    (0.630400)  |  7.6 min  
 429.9  430.0   03010   0.100000  |  0.001217    (0.030296)  |  0.006352    (0.635564)  |  7.8 min  
 439.9  440.0   03080   0.100000  |  0.001108    (0.032151)  |  0.006249    (0.622451)  |  8.0 min  
 449.9  450.0   03150   0.100000  |  0.001079    (0.022550)  |  0.006049    (0.617552)  |  8.1 min  
 459.9  460.0   03220   0.100000  |  0.001374    (0.055802)  |  0.006320    (0.619513)  |  8.3 min  
 469.9  470.0   03290   0.100000  |  0.001189    (0.042361)  |  0.006488    (0.618866)  |  8.5 min  
 479.9  480.0   03360   0.100000  |  0.000731    (0.039243)  |  0.006537    (0.612430)  |  8.7 min  
 489.9  490.0   03430   0.100000  |  0.000780    (0.053832)  |  0.006747    (0.625311)  |  8.9 min  
 499.9  500.0   03500   0.100000  |  0.001625    (0.033634)  |  0.006573    (0.627337)  |  9.0 min  
 509.9  510.0   03570   0.100000  |  0.001263    (0.108950)  |  0.007038    (0.629467)  |  9.2 min  
 519.9  520.0   03640   0.100000  |  0.001366    (0.046223)  |  0.006552    (0.611592)  |  9.4 min  
 529.9  530.0   03710   0.100000  |  0.001343    (0.068100)  |  0.006384    (0.623839)  |  9.6 min  
 539.9  540.0   03780   0.100000  |  0.001326    (0.058680)  |  0.006581    (0.626890)  |  9.8 min  
 549.9  550.0   03850   0.100000  |  0.000927    (0.036916)  |  0.006977    (0.624923)  | 10.0 min  
 559.9  560.0   03920   0.100000  |  0.000880    (0.030651)  |  0.007255    (0.654074)  | 10.1 min  
 569.9  570.0   03990   0.100000  |  0.000386    (0.027768)  |  0.006792    (0.617144)  | 10.3 min  
 579.9  580.0   04060   0.100000  |  0.000953    (0.017405)  |  0.006926    (0.614229)  | 10.5 min  
 589.9  590.0   04130   0.100000  |  0.000693    (0.035418)  |  0.006884    (0.621906)  | 10.7 min  
 599.9  600.0   04200   0.100000  |  0.000441    (0.024425)  |  0.006932    (0.608657)  | 10.9 min  
 609.9  610.0   04270   0.100000  |  0.000501    (0.030443)  |  0.006805    (0.622338)  | 11.0 min  
 619.9  620.0   04340   0.100000  |  0.000477    (0.013245)  |  0.006815    (0.609635)  | 11.2 min  
 629.9  630.0   04410   0.100000  |  0.000341    (0.027530)  |  0.006825    (0.611504)  | 11.4 min  
 639.9  640.0   04480   0.100000  |  0.000606    (0.030678)  |  0.006959    (0.622734)  | 11.6 min  
 649.9  650.0   04550   0.100000  |  0.000986    (0.040815)  |  0.007388    (0.634214)  | 11.8 min  
 659.9  660.0   04620   0.100000  |  0.000723    (0.036966)  |  0.007378    (0.634533)  | 12.0 min  
 669.9  670.0   04690   0.100000  |  0.000768    (0.031033)  |  0.007290    (0.617884)  | 12.1 min  
 679.9  680.0   04760   0.100000  |  0.000760    (0.020811)  |  0.007027    (0.633112)  | 12.3 min  
 689.9  690.0   04830   0.100000  |  0.000608    (0.034120)  |  0.006894    (0.609831)  | 12.5 min  
 699.9  700.0   04900   0.100000  |  0.000874    (0.044298)  |  0.006970    (0.622103)  | 12.7 min  
 709.9  710.0   04970   0.100000  |  0.000704    (0.017462)  |  0.007125    (0.613796)  | 12.9 min  
 719.9  720.0   05040   0.100000  |  0.000763    (0.021952)  |  0.007105    (0.617692)  | 13.0 min  
 729.9  730.0   05110   0.100000  |  0.000306    (0.026524)  |  0.007065    (0.622503)  | 13.2 min  
 739.9  740.0   05180   0.100000  |  0.001078    (0.016424)  |  0.007453    (0.611195)  | 13.4 min  
 749.9  750.0   05250   0.100000  |  0.000542    (0.031011)  |  0.007075    (0.618701)  | 13.6 min  
 759.9  760.0   05320   0.100000  |  0.000718    (0.017812)  |  0.007301    (0.607880)  | 13.8 min  
 769.9  770.0   05390   0.100000  |  0.000672    (0.018016)  |  0.007168    (0.619330)  | 13.9 min  
 779.9  780.0   05460   0.100000  |  0.000699    (0.014533)  |  0.007210    (0.612165)  | 14.1 min  
 789.9  790.0   05530   0.100000  |  0.000659    (0.040595)  |  0.007049    (0.614678)  | 14.3 min  
 799.9  800.0   05600   0.100000  |  0.000545    (0.023576)  |  0.007354    (0.611391)  | 14.5 min  

** evaluation on test set **
test_loss=0.007354    (test_acc=0.611391)

sucess
